month,date,worldGdp,worldPopulation,countriesInDebt,medianLegitimacy,medianStability,medianInfrastructure,activeWars,totalFlips,rivalPairs,allyRecords,llmActionsApplied,llmActionsRejected,llmSeconds
0,1946-01-01,549437244724,2294863082,0,46.1,40.94,0.317,0,0,0,0,0,0,0
1,1946-02-01,552277475965,2297560620,0,46.1,41.2,0.3163,0,0,0,0,0,0,11.8
2,1946-03-01,555002035436,2299822801,18,46.1,41.38,0.3176,0,0,0,0,0,0,0.1
3,1946-04-01,557750719832,2302189368,20,46.1,41.46,0.3187,0,0,0,0,0,0,0.1
4,1946-05-01,560522256564,2304660362,20,46.1,41.53,0.3189,0,0,0,0,0,0,0.1
5,1946-06-01,563315424299,2307238292,20,46.1,41.51,0.3194,0,0,0,0,0,0,0.1
6,1946-07-01,566128669243,2309879532,21,46.1,41.38,0.3202,0,0,5,0,0,0,0.1
7,1946-08-01,568960344248,2312581165,21,46.1,41.27,0.3199,0,0,26,0,0,0,0.1
8,1946-09-01,571808861697,2315339285,21,46.1,41.16,0.3206,0,0,38,0,0,0,0.1
9,1946-10-01,574673547041,2318149930,21,46.1,41.2,0.3213,0,0,49,0,0,0,0.1
10,1946-11-01,577553858932,2321007471,21,46.1,41.32,0.3221,0,0,50,0,0,0,0.1
11,1946-12-01,580450643861,2323898852,22,46.1,41.22,0.3226,0,0,52,0,2,0,21.8
12,1947-01-01,583363748403,2326821178,22,46.1,41.12,0.3229,0,0,55,0,3,0,32.7
